,Number_offenses,Code,Code_Desc,Date,Time,Address,City,State,Zip,Code_Cat_abbrv,Crime Category,Crime Name,Address_numbers,Street_name
286363,2.0,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2021-07-09,2330.0, JEFFERSON DR / NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,LICENSE VIOLATION,, JEFFERSON DR / NORTH KINGS HWY
286364,3.0,ANML-90Z-2,ANIMAL - RABIES CERTIFICATE VIOLATION,2021-07-09,2330.0, JEFFERSON DR / NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,RABIES CERTIFICATE VIOLATION,, JEFFERSON DR / NORTH KINGS HWY
288288,1.0,SERV-23,SERVICE - MISSING ADULT,2021-07-01,1500.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,MISSING ADULT,2800.0,FAIRHAVEN AVE
288492,1.0,FRAUD-26E-1,FRAUD - WIRE FRAUD,2021-06-30,2240.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,FRAUD,FRAUD,WIRE FRAUD,2800.0,FAIRHAVEN AVE
289649,2.0,SERV-999,POLICE PHONE REPORT,2021-06-24,500.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,2800.0,FAIRHAVEN AVE
289665,1.0,SUSP-1,SUSPICIOUS - EVENT,2021-06-24,500.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SUSP,SUSPICIOUS,EVENT,2800.0,FAIRHAVEN AVE
291052,1.0,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2021-06-18,1200.0,2800 FARMINGTON DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,ANIMAL BITE - DOMESTIC,2800.0,FARMINGTON DR
293291,1.0,WEAP-520-9,WEAPONS - BRANDISHING,2021-06-08,1800.0, FARMINGTON DR / TELEGRAPH RD,ALEXANDRIA,VA,22303.0,WEAP,WEAPONS,BRANDISHING,, FARMINGTON DR / TELEGRAPH RD
293711,1.0,SERV-29,SERVICE - DOMESTIC DISPUTE,2021-06-06,530.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,DOMESTIC DISPUTE,2800.0,FAIRHAVEN AVE
293845,1.0,SERV-29,SERVICE - DOMESTIC DISPUTE,2021-06-06,2107.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,DOMESTIC DISPUTE,2800.0,FAIRHAVEN AVE
